OBJECTID,FUNC_LOC_I,NAME,ADDRESS,ADDR3,AREA_SQ_M,RFOS_CATEGORY,RFOS_SUB_CATEGORY,MAINTAINED_BY,GlobalID
150687,K-COOM07,COOMERA SPORTS PARK,53 BEATTIE ROAD,COOMERA,187367,GOLD COAST CONSERVATION ESTATE,ENVIRONMENTAL RESERVE,GCCC,051999b8-8110-44fd-8045-44bd75060ada
150688,K-CASABL,CASABLANCA COURT RESERVE,8A SEA EAGLE DRIVE,BURLEIGH WATERS,3981,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,fe9e518e-88ee-4195-95df-bfefa856d4ed
150689,K-HARPER,HARPER ST RESERVE,469 NERANG ROAD,MOLENDINAR,2685,OPEN SPACE PARKS,AMENITY SPACE,GCCC,be79aa94-f8c3-4a1b-ae1f-44f3df4c37bf
150690,K-HARR04,HARRY BROWN PARK,TULIP STREET,MIAMI,10815,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,523fbe1c-ca46-45e5-80ac-259897f6468b
150691,K-CRESTD,CREST DRIVE RESERVE,CREST DRIVE,CURRUMBIN,2535,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,5f096acb-4f30-4923-baaa-8a36d2020df2
150692,K-WISCON,WISCONSIN STREET RESERVE,277 CHRISTINE AVENUE,VARSITY LAKES,436,OPEN SPACE PARKS,AMENITY SPACE,GCCC,f290221a-5c26-4816-9e0d-8d2ee955da68
150693,K-WITTAV,WITT AVENUE RESERVES,WITT AVENUE,CARRARA,3039,OPEN SPACE PARKS,AMENITY SPACE,GCCC,941958cd-3d7a-4069-9d6e-88372c41c277
150694,K-WOLLUN,WOLLUNDRY PARK,15 ALLANDALE ENTRANCE,MERMAID WATERS,10971,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,4c43595a-1e39-488b-91f6-db6ab914f16d
150695,K-WOLSEL,WOLSELEY PARK,1 WOLSELEY WAY,UPPER COOMERA,1562,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,5c7f7b88-f48b-4f31-add8-4a6f47b9125a
150696,K-GRAH01,GRAHAM DILLON (OAM) PARK,105 HINKLER DRIVE,WORONGARY,9357,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,88a9091b-34f2-4fda-a182-25d97cb1bbaf
150697,K-GRAYWI,GRAYWILLOW PARK,37A GRAYWILLOW PARK,OXENFORD,10129,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,43a4f16a-a642-435b-85e0-58de9f94e1ab
150698,K-BONO05,BONOGIN CONSERVATION AREA SMITH ROAD SECTION,WATERS ROAD,BONOGIN,126731,GOLD COAST CONSERVATION ESTATE,CONSERVATION AREA,GCCC,fceba3e3-2242-4a76-a4b2-0a2fb4bf365e
150699,K-BONO01,BONOGIN CONSERVATION AREA WATERS ROAD SECTION,886 TALLEBUDGERA CREEK ROAD,TALLEBUDGERA VALLEY,2965,OPEN SPACE PARKS,AMENITY SPACE,GCCC,633a0cdb-7399-4dcb-bb55-905ccab1211e
150700,,BROWN ISLAND,,SOUTH STRADBROKE,393987,QUEENSLAND CONSERVATION ESTATE,UNALLOCATED,EXTERNAL,d5d390f5-0c7b-4c6b-8a50-cb23b776e6c8
150701,K-BROW02,BROWN STREET CORRIDOR,18A BROWN STREET,LABRADOR,2439,UTILITY RESERVE,ACCESS LINKAGE,GCCC,77ec9e1b-e453-40df-90d2-6bebd551b960
150702,K-BANK02,BANKSIA PARK,19 CRESCENT AVE,HOPE ISLAND,17035.63365082,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,f2cf87df-5599-49cb-83be-ff37349f83a5
150703,K-BANK03,BANKSIA RESERVE,31 PARKES DRIVE,HELENSVALE,1782,OPEN SPACE PARKS,AMENITY SPACE,GCCC,4c67305e-c8b5-4a15-b9a8-36f79d4c9360
150704,K-BARATT,BARATTA STREET PARK,250 WARDOO STREET,SOUTHPORT,731,OPEN SPACE PARKS,AMENITY SPACE,GCCC,5cf5ba75-acd8-420f-b3f8-f6751bb5915a
150705,K-BARKER,BARKER PARK,275 BARKER LANE,COOMERA,1836,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,ad4b9ab7-fde5-49e4-bd29-14f19c69a5cd
150706,K-BARRSA,BARR'S AVENUE RESERVE,23 BARR'S AVENUE,OXENFORD,613,UTILITY RESERVE,UTILITY RESERVE,GCCC,00bf077c-224f-4095-a733-a57c4e9fe9da
150707,K-BARRIN,BARRINGTON PARK,36 MANLY DRIVE,ROBINA,845,OPEN SPACE PARKS,AMENITY SPACE,GCCC,5edaad7e-5cbd-4396-af7a-963193189d21
150708,K-SALTWA,SALTWATER PARK,HELENSVALE ROAD,HOPE ISLAND,10621,OPEN SPACE PARKS,WATER BODY,GCCC,a0886200-2b13-447e-9049-3760e63576d0
150709,K-WATTLE,WATTLE PARK,22A DARYL DRIVE,VARSITY LAKES,6884,OPEN SPACE PARKS,AMENITY SPACE,GCCC,04c0cbe4-8a0f-4135-8a96-3df84652b6bd
150710,K-WAVERL,WAVERLEY PARK CLOSE PARK,22 BARR'S AVENUE,OXENFORD,1805,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,ee2ba64b-e060-475b-ad19-ddbd62cbd362
150711,K-GERRAL,GERRALE DRIVE RESERVE,GERRALE DRIVE,WILLOW VALE,164766,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,78ef4252-0cca-4596-9a15-6efe456b26d3
150712,K-GIBOSA,GIBOSA PARK,20A SEASHELL AVENUE,COOMERA,433,OPEN SPACE PARKS,AMENITY SPACE,GCCC,79f6aeb4-3b32-4fe1-9618-075570bb4efa
150713,K-GIBSON,GIBSON PARK,TALLEBUDGERA CREEK ROAD,TALLEBUDGERA VALLEY,24377,GOLD COAST CONSERVATION ESTATE,BUSHLAND RESERVE,GCCC,1cb95346-0718-4cce-83f2-5d5c5d08bda6
150714,K-GILLTR,GILLTRAP PARK,MUSGRAVE STREET,COOLANGATTA,13099.15,OPEN SPACE PARKS,CITY RECREATION PARK,GCCC,bb39880e-ef8c-4b61-85cc-d33995980c5f
150715,K-GIRRAL,GIRRAL PARK,KALLAROO CRESCENT,ASHMORE,35276,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,eb31aea4-65c7-47aa-923f-10bf307bff1c
150716,K-CADAGH,CADAGHI RESERVE,174 DISCOVERY DRIVE,HELENSVALE,4321,UTILITY RESERVE,DRAINAGE RESERVE,GCCC,5c8baf91-7efa-44cd-815a-a33924f68a30
150717,K-CALGAS,CALGA STREET RESERVE,CALGA STREET,NERANG,2417,GOLD COAST CONSERVATION ESTATE,GENERAL RESERVE,GCCC,986c21ab-6e6c-4286-b953-e52d5c3efeb0
150718,K-CALIFO,CALIFORNIA DRIVE PARK,14 CALIFORNIA DRIVE,OXENFORD,3242,UTILITY RESERVE,UTILITY RESERVE,GCCC,5d5c8231-0415-45d8-80be-1997b57ca700
150719,K-CALLIA,CALLIANDRA PARK,3 BURDEKIN AVENUE,HELENSVALE,1633,OPEN SPACE PARKS,OPEN SPACE LINKAGE,GCCC,ff3f2bb8-dcf4-4761-9c13-441be91be67f
150720,K-CALM01,CALMWATER CRESCENT RESERVE,HELENSVALE ROAD,HELENSVALE,969,OPEN SPACE PARKS,AMENITY SPACE,GCCC,47feae48-5cdf-4443-bc3f-1b57aaa4c182
150721,K-STJOHN,ST JOHNS PARK,44 VENICE STREET,MERMAID BEACH,8115,OPEN SPACE PARKS,LOCAL RECREATION PARK,GCCC,593b546c-0dd7-452d-9999-a64d13215265
